compte_id,createur_id,plateforme,identifiant_public,audience,audience_relevee_le
youtube:UCGVLdT9d5MIDrqiiMDht-jg,aimez-la-viande,youtube,Aimez la viande,79500,2026-09-07
youtube:UCuZdQqYaRYcneCtI5nkjdzA,check,youtube,Check,122000,2026-09-07
youtube:UCEUZRSYr1a2hnBfnpWslFeQ,djilsi,youtube,Djilsi,2350000,2026-09-07
youtube:UCen9TDD6K1ZVW44unAGxtOw,doigby,youtube,Doigby,1390000,2026-09-07
youtube:UCt5cH5OiTGNJ_d9rd1ZZztQ,encuisineaugustine,youtube,Encuisineaugustine,33300,2026-09-07
youtube:UCkGpd4_4UAn53ZXcUf1JyFA,florianonair,youtube,FlorianOnAir,734000,2026-09-07
youtube:UCgCEqjKOabA2_IvZ-agkQCQ,herve-cuisine,youtube,Hervé Cuisine,1600000,2026-09-07
youtube:UCL9aTJb0ur4sovxcppAopEw,inoxtag,youtube,Inoxtag,9470000,2026-09-07
youtube:UCo6Z9cEI8Hf3nyrLUfDITtA,inoxtag-2-0,youtube,Inoxtag 2.0,3140000,2026-09-07
youtube:UCaNbR_-YuhhqVm6OQk_TPbg,johanpapz,youtube,JohanPapz,1480000,2026-09-07
youtube:UCLPSWyuMGlNMM1RK_2EFuIA,juste-zoe,youtube,Juste Zoé,1560000,2026-09-07
youtube:UCiRDO4sVx9dsyMm9F7eWMvw,kameto-replays-et-vods,youtube,Kameto - Replays et VODs,385000,2026-09-07
youtube:UCHQda5vLxrH0Ff0I0kMq4zw,konbini,youtube,Konbini,2490000,2026-09-07
youtube:UCsTK8xMZKkrbTeWc8REbn8Q,loris-giuliano,youtube,LORIS GIULIANO,1920000,2026-09-07
youtube:UCo3i0nUzZjjLuM7VjAVz4zA,michou,youtube,Michou,11000000,2026-09-07
youtube:UC8Q0SLrZLiTj5s4qc9aad-w,mister-v,youtube,Mister V,6540000,2026-09-07
youtube:UCIUpT3VQUghKxvK1OqTK0tQ,nico-d-estais,youtube,Nico d'Estais,771,2026-09-07
youtube:UCC_r3spMB5i5QKgtdNVO0OQ,pierre-croce,youtube,Pierre Croce,3790000,2026-09-07
youtube:UCWDyxFXoK_nPWfaw6f_sspw,rebeudeter,youtube,RebeuDeter,1060000,2026-09-07
youtube:UCjDJyveN85BFN5QcQ0iDqnQ,redha-jr,youtube,Redha Jr,2020000,2026-09-07
youtube:UC1iLfWw_KN-UrEDLSdd3L_A,studio-danielle,youtube,Studio Danielle,1740000,2026-09-07
youtube:UCNGq4mP3Ds5OUGjPo8IJOcw,valouzz,youtube,Valouzz,3280000,2026-09-07
